pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l1_unstructured,new_top6_combo,"22,10,17",3,0.2,0.506632,0.506776,-0.000143,0.690055,0.688472,0.001583,1.291444,1.298389,774.327247,770.185384,6.257475,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_10_17_amt_0p20/yolo26n_l1_combo_22_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,17",4,0.2,0.506632,0.506759,-0.000126,0.690055,0.690440,-0.000385,1.436001,1.355644,696.378179,737.656826,7.901998,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_17_amt_0p20/yolo26n_l1_combo_20_7_22_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_22_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,22,10,17",4,0.2,0.506632,0.506721,-0.000089,0.690055,0.688492,0.001564,1.372735,1.342987,728.472463,744.608684,7.498167,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_17_amt_0p20/yolo26n_l1_combo_20_22_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,22,10",3,0.2,0.506632,0.506718,-0.000085,0.690055,0.688192,0.001863,1.379311,1.313622,724.999643,761.253865,7.187983,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_amt_0p20/yolo26n_l1_combo_20_22_10_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_10_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,17",3,0.1,0.506632,0.506716,-0.000084,0.690055,0.689854,0.000202,1.364459,1.310534,732.891210,763.047626,2.016255,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_17_amt_0p10/yolo26n_l1_combo_20_7_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_17_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,22,17",3,0.2,0.506632,0.506714,-0.000081,0.690055,0.689660,0.000395,1.320863,1.360311,757.080678,735.126162,5.420615,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_17_amt_0p20/yolo26n_l1_combo_20_22_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_22_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,17",2,0.2,0.506632,0.506703,-0.000070,0.690055,0.690518,-0.000463,1.338819,1.321763,746.926815,756.565260,2.791692,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_17_amt_0p20/yolo26n_l1_combo_7_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,22,17",3,0.1,0.506632,0.506694,-0.000062,0.690055,0.689710,0.000345,1.345646,1.312195,743.137359,762.081945,3.330569,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_22_17_amt_0p10/yolo26n_l1_combo_7_22_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_22_17_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,17",3,0.2,0.506632,0.506691,-0.000058,0.690055,0.690621,-0.000566,1.387254,1.349755,720.848355,740.875339,4.032384,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_17_amt_0p20/yolo26n_l1_combo_20_7_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,17",4,0.1,0.506632,0.506687,-0.000055,0.690055,0.689656,0.000400,1.454860,1.293194,687.351589,773.279298,3.950936,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_17_amt_0p10/yolo26n_l1_combo_20_7_22_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_17_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,10",2,0.2,0.506632,0.506683,-0.000051,0.690055,0.689007,0.001048,1.406484,1.321126,710.992835,756.929904,4.559060,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_10_amt_0p20/yolo26n_l1_combo_7_10_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_10_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,17",2,0.1,0.506632,0.506649,-0.000017,0.690055,0.689717,0.000338,1.339835,1.272953,746.360361,785.575049,1.395888,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_17_amt_0p10/yolo26n_l1_combo_7_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_17_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,8",2,0.1,0.506632,0.506643,-0.000011,0.690055,0.688940,0.001115,1.432384,1.444246,698.136597,692.402751,2.688200,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_8_amt_0p10/yolo26n_l1_combo_7_8_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_7_8_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,8",3,0.1,0.506632,0.506614,0.000018,0.690055,0.688927,0.001129,1.346350,1.364346,742.748781,732.952090,3.308567,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_8_amt_0p10/yolo26n_l1_combo_20_7_8_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_8_amt_0p10/unstructured_pruning_summary.csv
