pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l2_structured,new_top6_combo,"7,8",2,0.1,0.506632,0.396388,0.110244,0.690055,0.549201,0.140854,1.380555,1.387192,724.346278,720.880844,2.676462,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_8_amt_0p10/yolo26n_l2_combo_7_8_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_8_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,22,1,0.1,0.506632,0.396377,0.110255,0.690055,0.581774,0.108281,1.431379,1.474939,698.627123,677.994227,1.940949,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_22_amt_0p10/yolo26n_l2_combo_22_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_22_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"7,22",2,0.1,0.506632,0.390154,0.116479,0.690055,0.566636,0.123419,1.336444,1.341289,748.254252,745.551730,3.201035,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_22_amt_0p10/yolo26n_l2_combo_7_22_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_7_22_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,7,10,17",4,0.1,0.506632,0.388410,0.118222,0.690055,0.579129,0.110926,1.308789,1.317476,764.064907,759.026925,3.090643,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_10_17_amt_0p10/yolo26n_l2_combo_20_7_10_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_10_17_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,10,1,0.2,0.506632,0.387412,0.119220,0.690055,0.537850,0.152205,1.290182,1.337873,775.084509,747.455201,2.077804,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_10_amt_0p20/yolo26n_l2_combo_10_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_10_amt_0p20/structured_pruning_summary.csv
l2_structured,new_top6_combo,"10,8",2,0.1,0.506632,0.384992,0.121640,0.690055,0.536325,0.153730,1.289752,1.301472,775.342944,768.360529,2.471370,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_10_8_amt_0p10/yolo26n_l2_combo_10_8_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_10_8_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,8,17",3,0.1,0.506632,0.380284,0.126349,0.690055,0.564248,0.125807,1.330968,1.335577,751.333133,748.740029,2.191814,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_8_17_amt_0p10/yolo26n_l2_combo_20_8_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_8_17_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,17",2,0.2,0.506632,0.380176,0.126457,0.690055,0.619465,0.070591,1.424613,1.344794,701.944820,743.608493,1.575233,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_20_17_amt_0p20/yolo26n_l2_combo_20_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_20_17_amt_0p20/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,7,8",3,0.1,0.506632,0.375834,0.130799,0.690055,0.534254,0.155802,1.331168,1.316105,751.220206,759.817703,3.306505,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_8_amt_0p10/yolo26n_l2_combo_20_7_8_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p10/combo_20_7_8_amt_0p10/structured_pruning_summary.csv
l2_structured,new_top6_combo,"20,7,17",3,0.2,0.506632,0.356852,0.149780,0.690055,0.567381,0.122674,1.407084,1.311776,710.689491,762.325406,4.046940,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_20_7_17_amt_0p20/yolo26n_l2_combo_20_7_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l2_structured_combo_new_top6_amt_0p20/combo_20_7_17_amt_0p20/structured_pruning_summary.csv
