pruning_method,search_type,layers,size,amount,baseline_mAP50_95,pruned_mAP50_95,drop_mAP50_95,baseline_mAP50,pruned_mAP50,drop_mAP50,baseline_latency_ms,pruned_latency_ms,baseline_fps,pruned_fps,zero_percent,model_path,source_csv
l1_unstructured,new_top6_combo,"7,22,17",3,0.2,0.506632,0.506128,0.000504,0.690055,0.689075,0.000981,1.394292,1.299602,717.209646,769.466127,6.661307,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_17_amt_0p20/yolo26n_l1_combo_7_22_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,8",3,0.2,0.506632,0.505704,0.000928,0.690055,0.688796,0.001259,1.359523,1.361558,735.551836,734.452643,6.617175,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_8_amt_0p20/yolo26n_l1_combo_20_7_8_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_8_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,10,8,17",4,0.2,0.506632,0.505419,0.001213,0.690055,0.686086,0.003969,1.354491,1.315124,738.284884,760.384516,6.523527,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_10_8_17_amt_0p20/yolo26n_l1_combo_20_10_8_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_10_8_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,10,8,17",6,0.1,0.506632,0.505984,0.000648,0.690055,0.687728,0.002327,1.385923,1.465378,721.541040,682.417754,6.437115,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_10_8_17_amt_0p10/yolo26n_l1_combo_20_7_22_10_8_17_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_10_8_17_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"7,22",2,0.2,0.506632,0.507516,-0.000883,0.690055,0.690458,-0.000403,1.409484,1.340551,709.479322,745.961945,6.351124,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_amt_0p20/yolo26n_l1_combo_7_22_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_7_22_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,22,10,8",5,0.1,0.506632,0.506173,0.000459,0.690055,0.687875,0.002180,1.481850,1.475840,674.832305,677.580158,6.282044,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_10_8_amt_0p10/yolo26n_l1_combo_20_7_22_10_8_amt_0p10.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p10/combo_20_7_22_10_8_amt_0p10/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"22,10,17",3,0.2,0.506632,0.506776,-0.000143,0.690055,0.688472,0.001583,1.291444,1.298389,774.327247,770.185384,6.257475,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_10_17_amt_0p20/yolo26n_l1_combo_22_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,10,8",3,0.2,0.506632,0.505423,0.001209,0.690055,0.686188,0.003867,1.340047,1.363860,746.242607,733.213126,6.213344,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_10_8_amt_0p20/yolo26n_l1_combo_20_10_8_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_10_8_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"20,7,10,17",4,0.2,0.506632,0.507432,-0.000800,0.690055,0.689533,0.000522,1.338472,1.320309,747.120830,757.398362,6.109935,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_10_17_amt_0p20/yolo26n_l1_combo_20_7_10_17_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_20_7_10_17_amt_0p20/unstructured_pruning_summary.csv
l1_unstructured,new_top6_combo,"22,10",2,0.2,0.506632,0.506813,-0.000180,0.690055,0.688254,0.001801,1.353279,1.294984,738.946026,772.210371,5.947292,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_10_amt_0p20/yolo26n_l1_combo_22_10_amt_0p20.pt,/home/afm176/yolo_project/3_pruning/pruning_plan_new_sw_full_20260712_234356/l1_unstructured_combo_new_top6_amt_0p20/combo_22_10_amt_0p20/unstructured_pruning_summary.csv
