step,operation_index,selected_group_id,selected_root_module,module_name,module_type,handler,is_out_channel_prune,index_count,indices,current_out_channels,projected_out_channels
124,10,DG006,model.13.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,25,,
124,11,DG006,model.13.m.0.cv1.conv,model.13.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,25,,
124,12,DG006,model.13.m.0.cv1.conv,model.13.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,25,,
124,13,DG006,model.13.m.0.cv1.conv,model.13.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,25,28,27
124,14,DG006,model.13.m.0.cv1.conv,model.13.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,25,,
124,15,DG006,model.13.m.0.cv1.conv,model.13.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,25,28,27
125,1,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,23,28,27
125,2,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,23,,
125,3,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,23,,
125,4,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,23,,
125,5,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,23,,
125,6,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,23,,
125,7,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,23,,
125,8,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,23,,
125,9,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,23,,
125,10,DG032,model.6.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,23,,
125,11,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,23,,
125,12,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,23,,
125,13,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,23,28,27
125,14,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,23,,
125,15,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,23,28,27
126,1,DG007,model.13.m.0.cv2.conv,model.13.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,7,30,29
126,2,DG007,model.13.m.0.cv2.conv,model.13.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,7,,
126,3,DG007,model.13.m.0.cv2.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,7,,
126,4,DG007,model.13.m.0.cv2.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,34,,
126,5,DG007,model.13.m.0.cv2.conv,model.13.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,34,,
127,1,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,9,21,20
127,2,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,9,,
127,3,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,9,,
127,4,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,9,,
127,5,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,9,,
127,6,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,9,,
127,7,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,9,,
127,8,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,9,,
127,9,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,9,,
127,10,DG017,model.19.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,9,,
127,11,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,9,,
127,12,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,9,,
127,13,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,9,21,20
127,14,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,9,,
127,15,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,9,21,20
128,1,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,2,27,26
128,2,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,2,,
128,3,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,2,,
128,4,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,2,,
128,5,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,2,,
128,6,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,2,,
128,7,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,2,,
128,8,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,2,,
128,9,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,2,,
128,10,DG032,model.6.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,2,,
128,11,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,2,,
128,12,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,2,,
128,13,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,2,27,26
128,14,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,2,,
128,15,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,2,27,26
129,1,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,18,26,25
129,2,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,18,,
129,3,DG033,model.6.m.0.cv2.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,18,,
129,4,DG033,model.6.m.0.cv2.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,44,,
129,5,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,44,,
130,1,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,9,25,24
130,2,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,9,,
130,3,DG033,model.6.m.0.cv2.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,9,,
130,4,DG033,model.6.m.0.cv2.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,35,,
130,5,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,35,,
131,1,DG013,model.16.m.0.m.0.cv1.conv,model.16.m.0.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,6,10,9
131,2,DG013,model.16.m.0.m.0.cv1.conv,model.16.m.0.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,6,,
131,3,DG013,model.16.m.0.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,6,,
131,4,DG013,model.16.m.0.m.0.cv1.conv,model.16.m.0.m.0.cv2.conv,Conv2d,prune_in_channels,False,1,6,,
132,1,DG013,model.16.m.0.m.0.cv1.conv,model.16.m.0.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,3,9,8
132,2,DG013,model.16.m.0.m.0.cv1.conv,model.16.m.0.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,3,,
132,3,DG013,model.16.m.0.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,3,,
132,4,DG013,model.16.m.0.m.0.cv1.conv,model.16.m.0.m.0.cv2.conv,Conv2d,prune_in_channels,False,1,3,,
133,1,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,7,26,25
133,2,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,7,,
133,3,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,7,,
133,4,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,7,,
133,5,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,7,,
133,6,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,7,,
133,7,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,7,,
133,8,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,7,,
133,9,DG032,model.6.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,7,,
133,10,DG032,model.6.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,7,,
133,11,DG032,model.6.m.0.cv1.conv,model.6.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,7,,
133,12,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,7,,
133,13,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,7,26,25
133,14,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,7,,
133,15,DG032,model.6.m.0.cv1.conv,model.6.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,7,26,25
134,1,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,16,20,19
134,2,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,16,,
134,3,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,16,,
134,4,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,16,,
134,5,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,16,,
134,6,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,16,,
134,7,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,16,,
134,8,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,16,,
134,9,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,16,,
134,10,DG017,model.19.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,16,,
134,11,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,16,,
134,12,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,16,,
134,13,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,16,20,19
134,14,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,16,,
134,15,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,16,20,19
135,1,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,13,19,18
135,2,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,13,,
135,3,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,13,,
135,4,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,13,,
135,5,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,13,,
135,6,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,13,,
135,7,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,13,,
135,8,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,13,,
135,9,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,13,,
135,10,DG017,model.19.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,13,,
135,11,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,13,,
135,12,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,13,,
135,13,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,13,19,18
135,14,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,13,,
135,15,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,13,19,18
136,1,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,21,24,23
136,2,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,21,,
136,3,DG033,model.6.m.0.cv2.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,21,,
136,4,DG033,model.6.m.0.cv2.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,46,,
136,5,DG033,model.6.m.0.cv2.conv,model.6.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,46,,
137,1,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,8,18,17
137,2,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,8,,
137,3,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,8,,
137,4,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,8,,
137,5,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,8,,
137,6,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,8,,
137,7,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,8,,
137,8,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,8,,
137,9,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,8,,
137,10,DG017,model.19.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,8,,
137,11,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,8,,
137,12,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,8,,
137,13,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,8,18,17
137,14,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv2.bn,BatchNorm2d,prune_out_channels,True,1,8,,
137,15,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv2.conv,Conv2d,prune_out_channels,True,1,8,18,17
138,1,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv1.conv,Conv2d,prune_out_channels,True,1,7,17,16
138,2,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv1.bn,BatchNorm2d,prune_out_channels,True,1,7,,
138,3,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,7,,
138,4,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,7,,
138,5,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.0.cv1.conv,Conv2d,prune_in_channels,False,1,7,,
138,6,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,7,,
138,7,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,7,,
138,8,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv1.conv,Conv2d,prune_in_channels,False,1,7,,
138,9,DG017,model.19.m.0.cv1.conv,<unresolved>,_ElementWiseOp,prune_out_channels,True,1,7,,
138,10,DG017,model.19.m.0.cv1.conv,<unresolved>,_ConcatOp,prune_out_channels,True,1,7,,
138,11,DG017,model.19.m.0.cv1.conv,model.19.m.0.cv3.conv,Conv2d,prune_in_channels,False,1,7,,
138,12,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv2.bn,BatchNorm2d,prune_out_channels,True,1,7,,
138,13,DG017,model.19.m.0.cv1.conv,model.19.m.0.m.1.cv2.conv,Conv2d,prune_out_channels,True,1,7,17,16
