group_id,root,current_channel_index,raw_l1_sum,rejected_lower_scoring_candidates,parameters_before,parameters_removed,parameters_after,dependency_operation_count,step,reduction_percent
DG005,model.13.cv2.conv,67,27.10912322998047,30,1564337,386,1563951,8,1848,37.64374484169228
DG016,model.19.cv2.conv,47,27.17094612121582,30,1563951,1784,1562167,14,1849,37.71487466558218
DG031,model.6.cv2.conv,98,27.171329498291016,30,1562167,2626,1559541,6,1850,37.81957585254118
DG031,model.6.cv2.conv,0,27.200214385986328,30,1559541,2626,1556915,6,1851,37.924277039500176
DG016,model.19.cv2.conv,33,27.267051696777344,31,1556915,1784,1555131,14,1852,37.995406863390066
DG016,model.19.cv2.conv,10,27.4481143951416,31,1555131,1784,1553347,14,1853,38.066536687279964
DG005,model.13.cv2.conv,105,27.486440658569336,31,1553347,386,1552961,8,1854,38.08192688460142
DG005,model.13.cv2.conv,2,27.492305755615234,31,1552961,386,1552575,8,1855,38.097317081922895
DG016,model.19.cv2.conv,27,27.576595306396484,31,1552575,1784,1550791,14,1856,38.16844690581279
DG016,model.19.cv2.conv,22,27.61794662475586,31,1550791,1784,1549007,14,1857,38.239576729702684
DG031,model.6.cv2.conv,46,27.628074645996094,31,1549007,2626,1546381,6,1858,38.34427791666168
DG005,model.13.cv2.conv,59,27.690990447998047,31,1546381,386,1545995,8,1859,38.35966811398315
DG016,model.19.cv2.conv,35,27.751201629638672,31,1545995,1784,1544211,14,1860,38.43079793787304
DG031,model.6.cv2.conv,45,27.758052825927734,31,1544211,2626,1541585,6,1861,38.53549912483204
DG016,model.19.cv2.conv,43,27.791057586669922,31,1541585,1784,1539801,14,1862,38.606628948721934
DG031,model.6.cv2.conv,58,27.81601333618164,31,1539801,2626,1537175,6,1863,38.71133013568093
DG005,model.13.cv2.conv,16,27.9254093170166,31,1537175,386,1536789,8,1864,38.726720333002405
DG005,model.13.cv2.conv,58,27.9700984954834,31,1536789,386,1536403,8,1865,38.74211053032387
DG031,model.6.cv2.conv,44,27.999296188354492,31,1536403,2626,1533777,6,1866,38.84681171728287
DG031,model.6.cv2.conv,6,28.233335494995117,31,1533777,2626,1531151,6,1867,38.951512904241866
DG024,model.22.cv2.conv,1,28.310087203979492,31,1531151,824,1530327,13,1868,38.98436658971568
DG031,model.6.cv2.conv,103,28.38561248779297,31,1530327,2626,1527701,6,1869,39.08906777667468
DG005,model.13.cv2.conv,75,28.400421142578125,31,1527701,386,1527315,8,1870,39.104457973996155
DG005,model.13.cv2.conv,7,28.431039810180664,31,1527315,386,1526929,8,1871,39.119848171317614
DG031,model.6.cv2.conv,43,28.447002410888672,31,1526929,2626,1524303,6,1872,39.22454935827662
DG005,model.13.cv2.conv,95,28.460851669311523,31,1524303,386,1523917,8,1873,39.23993955559808
DG031,model.6.cv2.conv,77,28.537986755371094,31,1523917,2626,1521291,6,1874,39.34464074255708
DG016,model.19.cv2.conv,46,28.628238677978516,31,1521291,1784,1519507,14,1875,39.41577056644697
DG031,model.6.cv2.conv,63,28.639568328857422,31,1519507,2626,1516881,6,1876,39.520471753405985
DG031,model.6.cv2.conv,35,28.695653915405273,31,1516881,2626,1514255,6,1877,39.62517294036498
DG031,model.6.cv2.conv,31,28.721271514892578,31,1514255,2626,1511629,6,1878,39.72987412732398
DG031,model.6.cv2.conv,58,28.745868682861328,31,1511629,2626,1509003,6,1879,39.834575314282986
DG016,model.19.cv2.conv,29,28.752111434936523,31,1509003,1784,1507219,14,1880,39.90570513817288
DG016,model.19.cv2.conv,49,28.76096534729004,31,1507219,1784,1505435,14,1881,39.97683496206277
DG016,model.19.cv2.conv,18,28.789953231811523,31,1505435,1784,1503651,14,1882,40.04796478595266
DG016,model.19.cv2.conv,40,28.8050537109375,31,1503651,1784,1501867,14,1883,40.119094609842556
DG005,model.13.cv2.conv,44,28.809329986572266,31,1501867,386,1501481,8,1884,40.134484807164014
DG005,model.13.cv2.conv,14,28.81266975402832,31,1501481,386,1501095,8,1885,40.14987500448548
DG016,model.19.cv2.conv,40,28.831371307373047,31,1501095,1784,1499311,14,1886,40.22100482837537
DG005,model.13.cv2.conv,37,28.87738037109375,31,1499311,386,1498925,8,1887,40.23639502569685
DG016,model.19.cv2.conv,32,28.89232063293457,31,1498925,1784,1497141,14,1888,40.30752484958674
DG031,model.6.cv2.conv,6,28.91350555419922,31,1497141,2626,1494515,6,1889,40.41222603654574
DG031,model.6.cv2.conv,22,28.94495964050293,31,1494515,2626,1491889,6,1890,40.51692722350474
DG005,model.13.cv2.conv,40,28.957504272460938,31,1491889,386,1491503,8,1891,40.5323174208262
DG005,model.13.cv2.conv,21,28.962644577026367,31,1491503,386,1491117,8,1892,40.547707618147676
DG031,model.6.cv2.conv,94,28.989789962768555,31,1491117,2626,1488491,6,1893,40.652408805106674
DG031,model.6.cv2.conv,59,29.046958923339844,31,1488491,2626,1485865,6,1894,40.75710999206568
DG031,model.6.cv2.conv,61,29.08930015563965,31,1485865,2626,1483239,6,1895,40.86181117902468
DG005,model.13.cv2.conv,51,29.13026237487793,31,1483239,386,1482853,8,1896,40.877201376346136
DG005,model.13.cv2.conv,85,29.13559913635254,31,1482853,386,1482467,8,1897,40.892591573667616
DG005,model.13.cv2.conv,81,29.15056800842285,31,1482467,386,1482081,8,1898,40.907981770989075
DG005,model.13.cv2.conv,19,29.158109664916992,31,1482081,386,1481695,8,1899,40.92337196831055
DG016,model.19.cv2.conv,0,29.218765258789062,31,1481695,1784,1479911,14,1900,40.994501792200445
DG005,model.13.cv2.conv,85,29.26326560974121,31,1479911,386,1479525,8,1901,41.009891989521904
DG031,model.6.cv2.conv,80,29.34552001953125,31,1479525,2626,1476899,6,1902,41.11459317648091
DG005,model.13.cv2.conv,85,29.351041793823242,31,1476899,386,1476513,8,1903,41.12998337380237
DG016,model.19.cv2.conv,7,29.36067771911621,31,1476513,1784,1474729,14,1904,41.201113197692266
DG031,model.6.cv2.conv,75,29.399089813232422,31,1474729,2626,1472103,6,1905,41.30581438465127
DG031,model.6.cv2.conv,90,29.401737213134766,31,1472103,2626,1469477,6,1906,41.410515571610276
DG005,model.13.cv2.conv,69,29.40836524963379,31,1469477,386,1469091,8,1907,41.425905768931734
DG016,model.19.cv2.conv,28,29.41231918334961,31,1469091,1784,1467307,14,1908,41.49703559282163
DG031,model.6.cv2.conv,84,29.420381546020508,31,1467307,2626,1464681,6,1909,41.60173677978063
DG005,model.13.cv2.conv,94,29.46448516845703,31,1464681,386,1464295,8,1910,41.61712697710209
DG031,model.6.cv2.conv,45,29.4702091217041,31,1464295,2626,1461669,6,1911,41.7218281640611
DG031,model.6.cv2.conv,54,29.476533889770508,31,1461669,2626,1459043,6,1912,41.826529351020106
DG005,model.13.cv2.conv,16,29.53285026550293,31,1459043,386,1458657,8,1913,41.841919548341565
DG031,model.6.cv2.conv,9,29.548267364501953,31,1458657,2626,1456031,6,1914,41.94662073530056
DG031,model.6.cv2.conv,31,29.55952262878418,31,1456031,2626,1453405,6,1915,42.05132192225957
DG031,model.6.cv2.conv,53,29.577316284179688,31,1453405,2626,1450779,6,1916,42.156023109218566
DG005,model.13.cv2.conv,90,29.58087730407715,31,1450779,386,1450393,8,1917,42.17141330654004
DG031,model.6.cv2.conv,79,29.596420288085938,31,1450393,2626,1447767,6,1918,42.27611449349904
DG031,model.6.cv2.conv,15,29.5986385345459,31,1447767,2626,1445141,6,1919,42.38081568045804
DG031,model.6.cv2.conv,75,29.6060791015625,31,1445141,2626,1442515,6,1920,42.48551686741704
DG005,model.13.cv2.conv,23,29.613027572631836,31,1442515,386,1442129,8,1921,42.5009070647385
DG005,model.13.cv2.conv,52,29.629182815551758,31,1442129,386,1441743,8,1922,42.51629726205998
DG031,model.6.cv2.conv,54,29.630760192871094,31,1441743,2626,1439117,6,1923,42.62099844901898
DG031,model.6.cv2.conv,51,29.635398864746094,31,1439117,2626,1436491,6,1924,42.725699635977975
DG031,model.6.cv2.conv,50,29.668289184570312,31,1436491,2626,1433865,6,1925,42.83040082293697
DG005,model.13.cv2.conv,91,29.683143615722656,31,1433865,386,1433479,8,1926,42.84579102025844
DG005,model.13.cv2.conv,8,29.68630027770996,31,1433479,386,1433093,8,1927,42.86118121757991
DG005,model.13.cv2.conv,24,29.71651268005371,31,1433093,386,1432707,8,1928,42.87657141490138
DG031,model.6.cv2.conv,56,29.73577308654785,31,1432707,2626,1430081,6,1929,42.981272601860375
DG031,model.6.cv2.conv,37,29.7387638092041,31,1430081,2626,1427455,6,1930,43.08597378881937
DG031,model.6.cv2.conv,55,29.757944107055664,31,1427455,2626,1424829,6,1931,43.19067497577838
DG005,model.13.cv2.conv,40,29.76435089111328,31,1424829,386,1424443,8,1932,43.20606517309985
DG016,model.19.cv2.conv,36,29.768508911132812,31,1424443,1784,1422659,14,1933,43.27719499698974
DG031,model.6.cv2.conv,48,29.772014617919922,31,1422659,2626,1420033,6,1934,43.38189618394874
DG016,model.19.cv2.conv,1,29.773746490478516,31,1420033,1784,1418249,14,1935,43.45302600783864
DG016,model.19.cv2.conv,5,29.781076431274414,31,1418249,1784,1416465,14,1936,43.52415583172853
DG031,model.6.cv2.conv,7,29.783100128173828,31,1416465,2626,1413839,6,1937,43.628857018687526
DG031,model.6.cv2.conv,26,29.78502655029297,31,1413839,2626,1411213,6,1938,43.73355820564653
DG031,model.6.cv2.conv,60,29.800813674926758,31,1411213,2626,1408587,6,1939,43.83825939260553
DG005,model.13.cv2.conv,61,29.812726974487305,31,1408587,386,1408201,8,1940,43.85364958992699
DG031,model.6.cv2.conv,22,29.843425750732422,31,1408201,2626,1405575,6,1941,43.958350776886
DG005,model.13.cv2.conv,16,29.852853775024414,31,1405575,386,1405189,8,1942,43.973740974207466
DG031,model.6.cv2.conv,48,29.875547409057617,31,1405189,2626,1402563,6,1943,44.078442161166464
DG016,model.19.cv2.conv,19,29.913463592529297,31,1402563,1784,1400779,14,1944,44.149571985056355
DG031,model.6.cv2.conv,1,29.92412567138672,31,1400779,2626,1398153,6,1945,44.25427317201536
DG016,model.19.cv2.conv,31,29.925851821899414,31,1398153,1784,1396369,14,1946,44.32540299590525
DG023,model.20.conv,78,29.43677520751953,31,1396369,600,1395769,5,1947,44.3493255824153
DG005,model.13.cv2.conv,69,29.935041427612305,31,1395769,386,1395383,8,1948,44.36471577973678
DG031,model.6.cv2.conv,47,29.94217872619629,31,1395383,2626,1392757,6,1949,44.469416966695775
DG005,model.13.cv2.conv,50,29.946008682250977,31,1392757,386,1392371,8,1950,44.48480716401724
DG031,model.6.cv2.conv,30,29.947044372558594,31,1392371,2626,1389745,6,1951,44.58950835097624
DG016,model.19.cv2.conv,29,29.956035614013672,31,1389745,1775,1387970,14,1952,44.660279336068484
DG005,model.13.cv2.conv,47,29.962636947631836,31,1387970,386,1387584,8,1953,44.67566953338995
DG016,model.19.cv2.conv,7,30.000499725341797,31,1387584,1775,1385809,14,1954,44.74644051848219
DG031,model.6.cv2.conv,2,30.013973236083984,31,1385809,2626,1383183,6,1955,44.85114170544119
DG005,model.13.cv2.conv,12,30.020225524902344,31,1383183,386,1382797,8,1956,44.86653190276266
DG031,model.6.cv2.conv,28,30.044275283813477,31,1382797,2626,1380171,6,1957,44.971233089721665
DG005,model.13.cv2.conv,46,30.061473846435547,31,1380171,386,1379785,8,1958,44.98662328704312
DG005,model.13.cv2.conv,14,30.09145736694336,31,1379785,386,1379399,8,1959,45.0020134843646
DG031,model.6.cv2.conv,14,30.09555435180664,31,1379399,2626,1376773,6,1960,45.1067146713236
DG031,model.6.cv2.conv,5,30.153947830200195,31,1376773,2626,1374147,6,1961,45.2114158582826
DG031,model.6.cv2.conv,56,30.172264099121094,31,1374147,2626,1371521,6,1962,45.3161170452416
DG031,model.6.cv2.conv,3,30.177711486816406,31,1371521,2626,1368895,6,1963,45.4208182322006
DG005,model.13.cv2.conv,17,30.194616317749023,31,1368895,386,1368509,8,1964,45.43620842952206
DG031,model.6.cv2.conv,36,30.203752517700195,31,1368509,2626,1365883,6,1965,45.54090961648106
DG005,model.13.cv2.conv,8,30.20452308654785,31,1365883,386,1365497,8,1966,45.55629981380254
DG005,model.13.cv2.conv,41,30.21133804321289,31,1365497,386,1365111,8,1967,45.571690011124
DG005,model.13.cv2.conv,2,30.23431396484375,31,1365111,386,1364725,8,1968,45.58708020844547
DG031,model.6.cv2.conv,12,30.238929748535156,31,1364725,2626,1362099,6,1969,45.691781395404476
DG031,model.6.cv2.conv,14,30.246679306030273,31,1362099,2626,1359473,6,1970,45.796482582363474
DG005,model.13.cv2.conv,54,30.251052856445312,31,1359473,386,1359087,8,1971,45.81187277968494
DG031,model.6.cv2.conv,21,30.292482376098633,31,1359087,2626,1356461,6,1972,45.91657396664394
DG031,model.6.cv2.conv,37,30.2974910736084,31,1356461,2626,1353835,6,1973,46.021275153602936
DG031,model.6.cv2.conv,28,30.307376861572266,31,1353835,2626,1351209,6,1974,46.125976340561934
DG031,model.6.cv2.conv,13,30.31753158569336,31,1351209,2626,1348583,6,1975,46.230677527520946
DG005,model.13.cv2.conv,48,30.34781265258789,31,1348583,386,1348197,8,1976,46.24606772484241
DG031,model.6.cv2.conv,38,30.34783363342285,31,1348197,2626,1345571,6,1977,46.35076891180141
DG031,model.6.cv2.conv,30,30.366254806518555,31,1345571,2626,1342945,6,1978,46.45547009876041
DG031,model.6.cv2.conv,21,30.37708854675293,31,1342945,2626,1340319,6,1979,46.560171285719406
DG005,model.13.cv2.conv,69,30.37722396850586,31,1340319,386,1339933,8,1980,46.575561483040886
DG005,model.13.cv2.conv,64,30.38018035888672,31,1339933,386,1339547,8,1981,46.590951680362345
DG005,model.13.cv2.conv,67,30.406042098999023,31,1339547,386,1339161,8,1982,46.60634187768381
DG031,model.6.cv2.conv,5,30.410579681396484,31,1339161,2626,1336535,6,1983,46.71104306464282
DG031,model.6.cv2.conv,30,30.41488265991211,31,1336535,2626,1333909,6,1984,46.81574425160182
DG005,model.13.cv2.conv,42,30.41986083984375,31,1333909,386,1333523,8,1985,46.83113444892329
DG031,model.6.cv2.conv,0,30.442224502563477,31,1333523,2626,1330897,6,1986,46.935835635882285
DG005,model.13.cv2.conv,5,30.44540786743164,31,1330897,386,1330511,8,1987,46.95122583320376
DG016,model.19.cv2.conv,18,30.44584083557129,31,1330511,1775,1328736,14,1988,47.021996818295996
DG005,model.13.cv2.conv,55,30.462297439575195,31,1328736,386,1328350,8,1989,47.03738701561746
DG005,model.13.cv2.conv,41,30.473011016845703,31,1328350,386,1327964,8,1990,47.052777212938935
DG031,model.6.cv2.conv,33,30.488115310668945,31,1327964,2626,1325338,6,1991,47.15747839989793
DG031,model.6.cv2.conv,15,30.502700805664062,31,1325338,2626,1322712,6,1992,47.26217958685693
DG005,model.13.cv2.conv,63,30.525753021240234,31,1322712,386,1322326,8,1993,47.2775697841784
DG023,model.20.conv,80,30.534202575683594,31,1322326,573,1321753,5,1994,47.300415854295494
DG005,model.13.cv2.conv,40,30.53437614440918,31,1321753,386,1321367,8,1995,47.315806051616974
DG005,model.13.cv2.conv,49,30.543025970458984,31,1321367,386,1320981,8,1996,47.33119624893843
DG005,model.13.cv2.conv,31,30.557945251464844,31,1320981,386,1320595,8,1997,47.346586446259906
DG016,model.19.cv2.conv,32,30.55963134765625,31,1320595,1766,1318829,14,1998,47.41699859255449
DG005,model.13.cv2.conv,65,30.57438087463379,31,1318829,386,1318443,8,1999,47.43238878987596
DG031,model.6.cv2.conv,12,30.578210830688477,31,1318443,2626,1315817,6,2000,47.53708997683497
DG005,model.13.cv2.conv,38,30.59008026123047,31,1315817,386,1315431,8,2001,47.55248017415643
