rank_by_sensitivity_ascending,ratio_percent,group_id,group_kind,representative_root,mAP_GEN2_baseline,mAP_GEN2_pruned,AD_GEN2,NAD_GEN2_signed,D_GEN2_nonnegative_harm,mAP_NGN2_baseline,mAP_NGN2_pruned,AD_NGN2,NAD_NGN2_signed,D_NGN2_nonnegative_harm,sensitivity_S_R4
17,25.0,DG042,GENERIC,model.9.cv1.conv,0.29238744923632365,0.27825067254506824,0.014136776691255404,0.04834946482203236,0.04834946482203236,0.2556081270327769,0.25051940035085735,0.005088726681919564,0.019908313327091635,0.019908313327091635,0.03886908099038545
18,25.0,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,0.29238744923632365,0.28039999085093587,0.011987458385387784,0.04099853949510281,0.04099853949510281,0.2556081270327769,0.24536506530917235,0.010243061723604563,0.04007330221660395,0.04007330221660395,0.04069012706893653
19,25.0,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,0.29238744923632365,0.2799873129333857,0.012400136302937959,0.0424099472645814,0.0424099472645814,0.2556081270327769,0.24504139205964226,0.01056673497313465,0.04133958922119744,0.04133958922119744,0.04205316125012008
20,25.0,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,0.29238744923632365,0.27717726884597776,0.015210180390345884,0.05202063368339788,0.05202063368339788,0.2556081270327769,0.24238733031859686,0.013220796714180055,0.0517229122080486,0.0517229122080486,0.05192139319161479
21,25.0,DG001,GENERIC,model.0.conv,0.29238744923632365,0.27677924951399585,0.015608199722327798,0.0533819073393687,0.0533819073393687,0.2556081270327769,0.2427532959189379,0.012854831113839005,0.05029116743299252,0.05029116743299252,0.05235166070390998
22,25.0,DG003,GENERIC,model.10.cv2.conv,0.29238744923632365,0.2710825395605995,0.021304909675724126,0.07286533581167612,0.07286533581167612,0.2556081270327769,0.252144770289066,0.003463356743710899,0.013549478195060633,0.013549478195060633,0.05309338327280429
23,25.0,CDG005,CUSTOM,model.10,0.29238744923632365,0.2749849855138928,0.017402463722430872,0.05951850453185917,0.05951850453185917,0.2556081270327769,0.237987510650455,0.017620616382321902,0.06893605687295846,0.06893605687295846,0.06265768864555893
24,25.0,CDG004,CUSTOM,model.8,0.29238744923632365,0.26690938376149337,0.02547806547483028,0.08713802709854862,0.08713802709854862,0.2556081270327769,0.2482295923360715,0.007378534696705408,0.02886658879887356,0.02886658879887356,0.06771421433199026
25,25.0,DG029,GENERIC,model.4.m.0.cv1.conv,0.29238744923632365,0.2732118405366612,0.01917560869966245,0.06558287214361129,0.06558287214361129,0.2556081270327769,0.23598406935509952,0.019624057677677387,0.07677399739000072,0.07677399739000072,0.0693132472257411
26,25.0,DG022,GENERIC,model.2.m.0.cv1.conv,0.29238744923632365,0.2709914158480148,0.021396033388308866,0.07317698979279857,0.07317698979279857,0.2556081270327769,0.23957537362680106,0.016032753405975847,0.06272395792767556,0.06272395792767556,0.06969264583775757
