rank_by_sensitivity_ascending,ratio_percent,group_id,group_kind,representative_root,mAP_GEN2_baseline,mAP_GEN2_pruned,AD_GEN2,NAD_GEN2_signed,D_GEN2_nonnegative_harm,mAP_NGN2_baseline,mAP_NGN2_pruned,AD_NGN2,NAD_NGN2_signed,D_NGN2_nonnegative_harm,sensitivity_S_GEN_PROTECTED
24,37.5,CDG005,CUSTOM,model.10,0.29238744923632365,0.25706776743819687,0.03531968179812678,0.12079753043564967,0.12079753043564967,0.2556081270327769,0.23539556646932608,0.020212560563450832,0.07907636113956171,0.07907636113956171,0.12079753043564967
25,37.5,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,0.29238744923632365,0.2590937581993561,0.033293691036967554,0.11386840004222534,0.11386840004222534,0.2556081270327769,0.22033026600768457,0.03527786102509234,0.13801541224300987,0.13801541224300987,0.1259419061426176
26,37.5,CDG009,CUSTOM,model.22,0.29238744923632365,0.2600555820617315,0.03233186717459213,0.11057884754984725,0.11057884754984725,0.2556081270327769,0.21661784636540657,0.03899028066737034,0.15253928394213606,0.15253928394213606,0.13155906574599166
27,37.5,DG003,GENERIC,model.10.cv2.conv,0.29238744923632365,0.2523478548624929,0.040039594373830756,0.13694019520471465,0.13694019520471465,0.2556081270327769,0.23963380859837088,0.015974318434406026,0.062495346371978316,0.062495346371978316,0.13694019520471465
28,37.5,DG036,GENERIC,model.7.conv,0.29238744923632365,0.2437179626411313,0.04866948659519235,0.16645545738132894,0.16645545738132894,0.2556081270327769,0.2339375082038631,0.0216706188289138,0.08478063307484333,0.08478063307484333,0.16645545738132894
29,37.5,DG005,GENERIC,model.13.cv2.conv,0.29238744923632365,0.2393923603802327,0.052995088856090944,0.1812495337761827,0.1812495337761827,0.2556081270327769,0.21438740366382966,0.04122072336894725,0.16126530813968004,0.16126530813968004,0.1812495337761827
30,37.5,DG024,GENERIC,model.22.cv2.conv,0.29238744923632365,0.23970969143002724,0.05267775780629641,0.18016422368293702,0.18016422368293702,0.2556081270327769,0.206529863735053,0.04907826329772391,0.19200587973257421,0.19200587973257421,0.18608505170775563
31,37.5,CDG004,CUSTOM,model.8,0.29238744923632365,0.23626737302146236,0.056120076214861286,0.19193736380080373,0.19193736380080373,0.2556081270327769,0.23155842331767937,0.024049703715097542,0.09408818097561358,0.09408818097561358,0.19193736380080373
32,37.5,DG037,GENERIC,model.8.cv2.conv,0.29238744923632365,0.22829991485920714,0.0640875343771165,0.2191870223722135,0.2191870223722135,0.2556081270327769,0.21036108310435778,0.045247043928419134,0.17701723514689757,0.17701723514689757,0.2191870223722135
33,37.5,DG015,GENERIC,model.17.conv,0.29238744923632365,0.22891056580270724,0.0634768834336164,0.2170985232075091,0.2170985232075091,0.2556081270327769,0.19631130150243153,0.059296825530345376,0.23198333409305752,0.23198333409305752,0.2245409286502833
34,37.5,DG006,GENERIC,model.13.m.0.cv1.conv,0.29238744923632365,0.22208224650547778,0.07030520273084587,0.2404521907984543,0.2404521907984543,0.2556081270327769,0.1880692784393983,0.06753884859337861,0.26422809547334164,0.26422809547334164,0.252340143135898
