domain,group_id,group_kind,eligible_for_cumulative_raw,selection_unit,score_basis,root_channels_before,selectable_units_before,selected_unit_count,prune_first_mean_score,prune_first_max_score,all_unit_score_mean,all_unit_score_std,domain_rank_prune_first_ascending
GEN2,CDG004,CUSTOM,True,hidden_channel,coupled_logical_l1,128,128,48,0.9476988911628723,0.9855042099952698,0.9999999403953552,0.05360712856054306,28
GEN2,DG028,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.9478510022163391,0.9876642227172852,1.0,0.05573932081460953,29
GEN2,DG037,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,256,256,96,0.9479846954345703,0.9984785914421082,0.9999998807907104,0.06360320001840591,30
GEN2,DG007,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9500425457954407,0.9722451567649841,1.0,0.05368686839938164,31
GEN2,CDG001,CUSTOM,True,hidden_channel,coupled_logical_l1,16,16,6,0.951486349105835,0.9858863949775696,1.0,0.05613114312291145,32
GEN2,DG040,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9524922370910645,0.9983431696891785,1.0,0.052396804094314575,33
GEN2,DG031,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.9525642991065979,0.9878194332122803,1.0,0.05297784507274628,34
GEN2,DG034,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9535515904426575,0.9852635860443115,1.0,0.047315485775470734,35
GEN2,DG017,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9538224339485168,0.9781430959701538,0.9999998807907104,0.04510147124528885,36
GEN2,CDG003,CUSTOM,True,hidden_channel,coupled_logical_l1,64,64,24,0.9588761329650879,0.9773090481758118,0.9999999403953552,0.049510907381772995,37
GEN2,DG008,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9590362906455994,0.971640944480896,0.9999999403953552,0.04120749980211258,38
GEN2,DG036,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,256,256,96,0.9593873620033264,0.995395302772522,0.9999998211860657,0.043946802616119385,39
GEN2,DG042,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.9604246616363525,1.0027766227722168,1.0,0.055591270327568054,40
GEN2,DG039,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9620144367218018,0.9815341830253601,1.0,0.03844087943434715,41
GEN2,DG011,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,16,16,6,0.9620480537414551,0.9825646877288818,1.0,0.04554852470755577,42
GEN2,DG038,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9649422764778137,0.9949086904525757,1.0000001192092896,0.03911479562520981,43
GEN2,CDG005,CUSTOM,True,paired_attention_unit,coupled_head_aware_l1,128,64,24,0.9652748107910156,0.9970828890800476,1.0,0.038778193295001984,44
GEN2,DG027,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,64,64,24,0.9672918319702148,0.9933096766471863,0.9999999403953552,0.03331240639090538,45
GEN2,DG030,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,128,128,48,0.9674821496009827,0.9997768998146057,1.0,0.03519561514258385,46
GEN2,DG035,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9693437218666077,0.9896762371063232,0.9999998807907104,0.028765521943569183,47
GEN2,DG029,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,16,16,6,0.9704465866088867,0.9925341010093689,1.0,0.030113015323877335,48
GEN2,CDG009,CUSTOM,True,paired_attention_unit,coupled_head_aware_l1,128,64,24,0.9719641804695129,0.9938367009162903,1.0,0.02891482040286064,49
GEN2,DG006,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.972434937953949,0.9894081354141235,1.0,0.02585284411907196,50
GEN2,DG032,GENERIC,True,output_channel,DepGraph_GroupMagnitudeImportance_p1_mean_mean,32,32,12,0.9796757102012634,0.9960752725601196,1.0,0.019170187413692474,51
