rank_by_sensitivity_ascending,ratio_percent,group_id,group_kind,representative_root,mAP_GEN2_baseline,mAP_GEN2_pruned,AD_GEN2,NAD_GEN2_signed,D_GEN2_nonnegative_harm,mAP_NGN2_baseline,mAP_NGN2_pruned,AD_NGN2,NAD_NGN2_signed,D_NGN2_nonnegative_harm,sensitivity_S_R4
14,12.5,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,0.29238744923632365,0.28726146110918804,0.005125988127135606,0.01753149165781223,0.01753149165781223,0.2556081270327769,0.25427846862631387,0.0013296584064630412,0.005201941041149047,0.005201941041149047,0.013421641452257835
15,12.5,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,0.29238744923632365,0.28594632522041347,0.006441124015910182,0.022029413481096827,0.022029413481096827,0.2556081270327769,0.25433182020732814,0.0012763068254487697,0.004993216922578943,0.004993216922578943,0.0163506812949242
16,12.5,CDG005,CUSTOM,model.10,0.29238744923632365,0.28766293501663037,0.0047245142196932766,0.016158402941142194,0.016158402941142194,0.2556081270327769,0.2498389712333797,0.005769155799397213,0.022570314435493,0.022570314435493,0.018295706772592464
17,12.5,DG009,GENERIC,model.13.m.0.m.1.cv1.conv,0.29238744923632365,0.28844675964340427,0.0039406895929193775,0.013477629095270416,0.013477629095270416,0.2556081270327769,0.24827309997268499,0.007335027060091925,0.028696376540294225,0.028696376540294225,0.018550544910278355
18,12.5,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,0.29238744923632365,0.2871515080397751,0.005235941196548521,0.01790754428832048,0.01790754428832048,0.2556081270327769,0.25020925864022325,0.005398868392553657,0.0211216617218957,0.0211216617218957,0.018978916766178886
19,12.5,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,0.29238744923632365,0.28687142334664756,0.0055160258896760905,0.01886546739295138,0.01886546739295138,0.2556081270327769,0.25068853839866484,0.004919588634112071,0.019246604915192023,0.019246604915192023,0.01899251323369826
20,12.5,DG022,GENERIC,model.2.m.0.cv1.conv,0.29238744923632365,0.287715292290893,0.004672156945430661,0.01597933480945814,0.01597933480945814,0.2556081270327769,0.24892298469277882,0.00668514233999809,0.026153872404615863,0.026153872404615863,0.01937084734117738
21,12.5,DG042,GENERIC,model.9.cv1.conv,0.29238744923632365,0.28386293448621824,0.008524514750105405,0.02915485863832487,0.02915485863832487,0.2556081270327769,0.2552347906212878,0.00037333641148912244,0.0014605811474892936,0.0014605811474892936,0.019923432808046346
22,12.5,CDG004,CUSTOM,model.8,0.29238744923632365,0.2830876309903228,0.009299818246000846,0.031806489198803536,0.031806489198803536,0.2556081270327769,0.25621268204865344,-0.0006045550158765289,-0.0023651635137524646,0.0,0.020415938294618203
23,12.5,DG003,GENERIC,model.10.cv2.conv,0.29238744923632365,0.2848531728006361,0.007534276435687548,0.02576812532605642,0.02576812532605642,0.2556081270327769,0.25303151911389643,0.0025766079188804802,0.010080305148318227,0.010080305148318227,0.02053885193347702
24,12.5,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,0.29238744923632365,0.2839109577018866,0.008476491534437025,0.028990613504705727,0.028990613504705727,0.2556081270327769,0.2506863905656213,0.004921736467155602,0.0192550077506905,0.0192550077506905,0.02574541158670065
25,12.5,DG029,GENERIC,model.4.m.0.cv1.conv,0.29238744923632365,0.2828867170228776,0.00950073221344605,0.03249363896521781,0.03249363896521781,0.2556081270327769,0.248894273176475,0.00671385385630191,0.02626619870909263,0.02626619870909263,0.030417825546509417
26,12.5,CDG009,CUSTOM,model.22,0.29238744923632365,0.28566743846053305,0.006720010775790597,0.02298323951093781,0.02298323951093781,0.2556081270327769,0.24346410580294658,0.012144021229830326,0.047510309514818695,0.047510309514818695,0.03115892951223144
27,12.5,DG001,GENERIC,model.0.conv,0.29238744923632365,0.283354670047716,0.009032779188607676,0.030893183726593155,0.030893183726593155,0.2556081270327769,0.24743833066615256,0.008169796366624349,0.031962193305288475,0.031962193305288475,0.03124952025282493
28,12.5,DG021,GENERIC,model.2.cv2.conv,0.29238744923632365,0.28293956663537767,0.009447882600945978,0.032312886977955334,0.032312886977955334,0.2556081270327769,0.24651352933983536,0.009094597692941547,0.03558023681999492,0.03558023681999492,0.03340200359196853
29,12.5,DG023,GENERIC,model.20.conv,0.29238744923632365,0.278559675191922,0.013827774044401664,0.04729263886161302,0.04729263886161302,0.2556081270327769,0.2456242737601402,0.009983853272636706,0.03905921689006572,0.03905921689006572,0.04454816487109725
30,12.5,DG005,GENERIC,model.13.cv2.conv,0.29238744923632365,0.27773068269970924,0.014656766536614407,0.05012789220226755,0.05012789220226755,0.2556081270327769,0.24373913665033395,0.011868990382442962,0.046434323197090635,0.046434323197090635,0.04889670253387525
31,12.5,DG036,GENERIC,model.7.conv,0.29238744923632365,0.27685690355809156,0.015530545678232088,0.05311632123333531,0.05311632123333531,0.2556081270327769,0.24334102716721576,0.012267099865561154,0.04799182251348421,0.04799182251348421,0.05140815499338494
32,12.5,CDG006,CUSTOM,model.13,0.29238744923632365,0.2705264579704128,0.021860991265910845,0.07476720127012561,0.07476720127012561,0.2556081270327769,0.24349524713412776,0.012112879898649148,0.047388477194607745,0.047388477194607745,0.06564095991161965
33,12.5,DG037,GENERIC,model.8.cv2.conv,0.29238744923632365,0.27332613100916653,0.01906131822715712,0.06519198507645488,0.06519198507645488,0.2556081270327769,0.23659368155590182,0.019014445476875086,0.07438904896179942,0.07438904896179942,0.06825767303823639
34,12.5,DG015,GENERIC,model.17.conv,0.29238744923632365,0.2689843689309694,0.023403080305354262,0.08004132997664548,0.08004132997664548,0.2556081270327769,0.23977264220679953,0.01583548482597738,0.06195219615981451,0.06195219615981451,0.0740116187043685
35,12.5,DG017,GENERIC,model.19.m.0.cv1.conv,0.29238744923632365,0.2705680441099124,0.02181940512641123,0.07462497170586684,0.07462497170586684,0.2556081270327769,0.2354537819402776,0.020154345092499304,0.07884860832267235,0.07884860832267235,0.07603285057813534
36,12.5,DG006,GENERIC,model.13.m.0.cv1.conv,0.29238744923632365,0.27352329589483215,0.018864153341491496,0.06451765761752806,0.06451765761752806,0.2556081270327769,0.22599703093502377,0.029611096097753142,0.1158456753370603,0.1158456753370603,0.08162699685737215
37,12.5,CDG008,CUSTOM,model.19,0.29238744923632365,0.26497667429827726,0.02741077493804639,0.09374812431121655,0.09374812431121655,0.2556081270327769,0.24022138249718858,0.015386744535588331,0.06019661704111338,0.06019661704111338,0.0825642885545155
38,12.5,DG024,GENERIC,model.22.cv2.conv,0.29238744923632365,0.2672904574882067,0.02509699174811697,0.08583470943662906,0.08583470943662906,0.2556081270327769,0.23536612974474436,0.020241997288032554,0.07919152463191008,0.07919152463191008,0.08362031450172273
39,12.5,CDG003,CUSTOM,model.6,0.29238744923632365,0.2642391659264157,0.02814828330990793,0.09627049103313917,0.09627049103313917,0.2556081270327769,0.2385585055404046,0.017049621492372324,0.06670218858176616,0.06670218858176616,0.08641439021601484
40,12.5,DG031,GENERIC,model.6.cv2.conv,0.29238744923632365,0.2576102334878282,0.03477721574849546,0.11894223175217962,0.11894223175217962,0.2556081270327769,0.24257497465100814,0.013033152381768776,0.05098880279380757,0.05098880279380757,0.0962910887660556
41,12.5,DG028,GENERIC,model.4.cv2.conv,0.29238744923632365,0.2625027304994196,0.02988471873690407,0.10220930759839009,0.10220930759839009,0.2556081270327769,0.23176763669791667,0.023840490334860243,0.0932696882983034,0.0932696882983034,0.09922943449836119
42,12.5,DG002,GENERIC,model.1.conv,0.29238744923632365,0.2581631709436312,0.03422427829269242,0.11705111960886691,0.11705111960886691,0.2556081270327769,0.23282418622039963,0.02278394081237728,0.08913621439531016,0.08913621439531016,0.107746151204348
43,12.5,DG010,GENERIC,model.16.cv2.conv,0.29238744923632365,0.2588858609655233,0.03350158827080035,0.11457943341378693,0.11457943341378693,0.2556081270327769,0.23014606606759597,0.025462060965180944,0.09961365963108018,0.09961365963108018,0.10959084215288467
44,12.5,DG030,GENERIC,model.5.conv,0.29238744923632365,0.25374256911254295,0.0386448801237807,0.13217010588079578,0.13217010588079578,0.2556081270327769,0.2227601253269196,0.032848001705857305,0.12850922264159922,0.12850922264159922,0.13094981146773027
45,12.5,DG032,GENERIC,model.6.m.0.cv1.conv,0.29238744923632365,0.25207306461322176,0.040314384623101884,0.13788001067897268,0.13788001067897268,0.2556081270327769,0.2229165800271782,0.0326915470055987,0.12789713451249785,0.12789713451249785,0.13455238529014774
46,12.5,DG011,GENERIC,model.16.m.0.cv1.conv,0.29238744923632365,0.25800203088591206,0.03438541835041159,0.11760223785330608,0.11760223785330608,0.2556081270327769,0.2078464261654062,0.04776170086737072,0.1868551732756376,0.1868551732756376,0.14068654966074992
47,12.5,DG016,GENERIC,model.19.cv2.conv,0.29238744923632365,0.23099379323468144,0.061393656001642205,0.20997363656338228,0.20997363656338228,0.2556081270327769,0.2370370237650003,0.018571103267776612,0.07265458842548937,0.07265458842548937,0.16420062051741796
48,12.5,CDG001,CUSTOM,model.2,0.29238744923632365,0.21641353379406825,0.0759739154422554,0.2598398653590945,0.2598398653590945,0.2556081270327769,0.20910663981723776,0.04650148721553915,0.1819249166892734,0.1819249166892734,0.23386821580248746
49,12.5,CDG007,CUSTOM,model.16,0.29238744923632365,0.20597121693653672,0.08641623229978693,0.2955538362727073,0.2955538362727073,0.2556081270327769,0.20136526729085055,0.05424285974192636,0.2122110136778661,0.2122110136778661,0.2677728954077602
50,12.5,CDG002,CUSTOM,model.4,0.29238744923632365,0.19255820545799696,0.09982924377832669,0.34142793761861917,0.34142793761861917,0.2556081270327769,0.14269259502680634,0.11291553200597057,0.4417525112239146,0.4417525112239146,0.37486946215371764
51,12.5,DG027,GENERIC,model.3.conv,0.29238744923632365,0.10719714109460983,0.18519030814171383,0.633372973516496,0.633372973516496,0.2556081270327769,0.24035661374148262,0.015251513291294289,0.05966756013723527,0.05966756013723527,0.4421378357234091
