ratio_percent,group_id,group_kind,representative_root,parameters_removed,gflops_removed,gen2_pruned_map50_95,gen2_AD_map50_95,gen2_NAD_map50_95,ngn2_pruned_map50_95,ngn2_AD_map50_95,ngn2_NAD_map50_95,directional_NAD_difference_GEN2_minus_NGN2
37.5,DG011,GENERIC,model.16.m.0.cv1.conv,3876,0.05007360000000016,0.1346724425490123,0.15771500668731134,0.5394041608121057,0.13879599813335172,0.11681212889942519,0.4569969282879892,0.08240723252411652
37.5,DG012,GENERIC,model.16.m.0.cv2.conv,396,0.005222400000000071,0.2826342940962212,0.009753155140102443,0.03335695552451503,0.2503147217325132,0.005293405300263732,0.02070906493354553,0.012647890590969501
37.5,DG013,GENERIC,model.16.m.0.m.0.cv1.conv,1740,0.022425600000000045,0.2590937581993561,0.033293691036967554,0.11386840004222534,0.22033026600768457,0.03527786102509234,0.13801541224300987,-0.024147012200784523
37.5,DG014,GENERIC,model.16.m.0.m.1.cv1.conv,1740,0.022425600000000045,0.27133084203393737,0.02105660720238628,0.07201611169488732,0.23572221876374522,0.019885908269031694,0.0777984194003413,-0.0057823077054539734
37.5,DG015,GENERIC,model.17.conv,16944,0.05437440000000038,0.22891056580270724,0.0634768834336164,0.2170985232075091,0.19631130150243153,0.059296825530345376,0.23198333409305752,-0.01488481088554841
37.5,DG016,GENERIC,model.19.cv2.conv,85632,0.14223359999999996,0.08248237806574643,0.20990507117057722,0.717900415078762,0.122372209685171,0.13323591734760593,0.5212507086307194,0.19664970644804258
37.5,DG017,GENERIC,model.19.m.0.cv1.conv,15432,0.049612799999999346,0.20315381748915504,0.08923363174716861,0.30518967890117976,0.1908335323033903,0.0647745947293866,0.25341367460151404,0.05177600429966572
37.5,DG018,GENERIC,model.19.m.0.cv2.conv,1560,0.0050688000000000955,0.28936292269090685,0.0030245265454167947,0.010344242043618656,0.254485964152192,0.0011221628805849204,0.004390169020099366,0.00595407302351929
37.5,DG019,GENERIC,model.19.m.0.m.0.cv1.conv,6936,0.022272000000000958,0.27972474380848006,0.01266270542784359,0.043307965033782606,0.24739527238376344,0.008212854649013474,0.03213064758289289,0.011177317450889714
37.5,DG020,GENERIC,model.19.m.0.m.1.cv1.conv,6936,0.022272000000000958,0.2644295922798836,0.02795785695644004,0.0956192101591986,0.22974281733689397,0.025865309695882938,0.10119126491062704,-0.00557205475142844
37.5,DG021,GENERIC,model.2.cv2.conv,15024,0.24084479999999964,0.12874426063704048,0.16364318859928317,0.5596792510304289,0.20750424316322336,0.048103883869553554,0.18819387485040778,0.37148537618002114
37.5,DG022,GENERIC,model.2.m.0.cv1.conv,870,0.04485120000000009,0.26290257230310465,0.029484876933218995,0.10084180087151311,0.23542842944610537,0.02017969758667154,0.07894779333085868,0.02189400754065443
37.5,DG023,GENERIC,model.20.conv,67680,0.0542208000000004,0.26358039833933616,0.028807050896987485,0.09852355486607785,0.22348111000849552,0.03212701702428139,0.1256885584868814,-0.027165003620803554
37.5,DG024,GENERIC,model.22.cv2.conv,79104,0.0637439999999998,0.23970969143002724,0.05267775780629641,0.18016422368293702,0.206529863735053,0.04907826329772391,0.19200587973257421,-0.01184165604963719
37.5,DG025,GENERIC,model.22.m.0.0.cv1.conv,55344,0.04431359999999973,0.2854529322706554,0.006934516965668269,0.02371687630156591,0.2484122946966002,0.007195832336176711,0.028151813558158035,-0.004434937256592126
37.5,DG026,GENERIC,model.22.m.0.1.ffn.0.conv,24768,0.01996800000000043,0.2923277921063388,5.965712998484696e-05,0.0002040345101701981,0.25554548561650076,6.26414162761546e-05,0.0002450681713579554,-4.103366118775732e-05
37.5,DG027,GENERIC,model.3.conv,15408,0.19783680000000015,0.0,0.29238744923632365,1.0,0.1570443939771443,0.09856373305563262,0.3856048483270397,0.6143951516729603
37.5,DG028,GENERIC,model.4.cv2.conv,63072,0.2777087999999992,0.11033624278377929,0.18205120645254436,0.622636870796053,0.16808783602418123,0.08752029100859568,0.3424002672550895,0.2802366035409635
37.5,DG029,GENERIC,model.4.m.0.cv1.conv,3468,0.04454399999999925,0.26137848523239426,0.031008964003929385,0.10605436069475825,0.2238912559884301,0.03171687104434681,0.1240839695221417,-0.018029608827383442
37.5,DG030,GENERIC,model.5.conv,61536,0.19722240000000024,0.09957395809589967,0.19281349114042398,0.6594451699073495,0.18216709020643637,0.07344103682634054,0.28731886454034034,0.37212630536700914
37.5,DG031,GENERIC,model.6.cv2.conv,126048,0.13824000000000058,0.18705554118076603,0.10533190805555762,0.36024770670105805,0.21359525541589602,0.04201287161688089,0.1643643811508917,0.19588332555016635
37.5,DG032,GENERIC,model.6.m.0.cv1.conv,15432,0.049612799999999346,0.2200505981972425,0.07233685103908116,0.24740067067863278,0.15476872049532597,0.10083940653745094,0.39450782613230523,-0.14710715545367245
37.5,DG033,GENERIC,model.6.m.0.cv2.conv,1560,0.0050688000000000955,0.2913099396144412,0.0010775096218824665,0.0036852116077375255,0.2534229292722301,0.00218519776054682,0.008549015189437265,-0.004863803581699739
37.5,DG034,GENERIC,model.6.m.0.m.0.cv1.conv,6936,0.022272000000000958,0.2899608789917268,0.0024265702445968595,0.008299160073165697,0.25210536292572067,0.0035027641070562443,0.013703649205985853,-0.005404489132820156
37.5,DG035,GENERIC,model.6.m.0.m.1.cv1.conv,6936,0.022272000000000958,0.28260299338526507,0.009784455851058582,0.03346400769463345,0.24989098200382126,0.00571714502895565,0.02236683588790013,0.011097171806733322
37.5,DG036,GENERIC,model.7.conv,135360,0.10844159999999992,0.2437179626411313,0.04866948659519235,0.16645545738132894,0.2339375082038631,0.0216706188289138,0.08478063307484333,0.08167482430648561
37.5,DG037,GENERIC,model.8.cv2.conv,123264,0.09891839999999963,0.22829991485920714,0.0640875343771165,0.2191870223722135,0.21036108310435778,0.045247043928419134,0.17701723514689757,0.04216978722531592
37.5,DG038,GENERIC,model.8.m.0.cv1.conv,61584,0.049382399999999826,0.2765938134539975,0.015793635782326176,0.05401612081358831,0.24909752202786198,0.006510605004914932,0.025471040692223647,0.028545080121364662
37.5,DG039,GENERIC,model.8.m.0.cv2.conv,6192,0.0049920000000005516,0.29121023667570756,0.0011772125606160921,0.004026207567017024,0.2554377465612968,0.0001703804714801027,0.0006665690698412521,0.0033596384971757718
37.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,27696,0.022195200000000526,0.28849669001412503,0.0038907592221986143,0.013306861263575949,0.2504325076560401,0.005175619376736829,0.02024825828825526,-0.006941397024679313
37.5,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,27696,0.022195200000000526,0.28558862195873874,0.006798827277584907,0.023252801361147754,0.2472522387320195,0.008355888300757397,0.03269022936694776,-0.009437428005800004
37.5,DG042,GENERIC,model.9.cv1.conv,61536,0.04930560000000028,0.2710482628113059,0.021339186425017753,0.07298256638837547,0.24273032620331836,0.012877800829458552,0.05038103044277312,0.022601535945602352
37.5,CDG001,CUSTOM,model.2,2436,0.12656639999999975,0.08610914210726937,0.20627830712905426,0.705496448865453,0.07402012117183118,0.18158800586094573,0.7104156192876468,-0.004919170422193808
37.5,CDG002,CUSTOM,model.4,9672,0.12472320000000003,0.00011284373512024586,0.2922746055012034,0.999614060947503,0.006943594431875876,0.24866453260090104,0.9728350013261297,0.02677905962137339
37.5,CDG003,CUSTOM,model.6,18576,0.0599040000000004,0.1967250232491319,0.09566242598719174,0.3271769230760384,0.17055896375087312,0.08504916328190379,0.3327326257940063,-0.005555702717967903
37.5,CDG004,CUSTOM,model.8,74016,0.059443199999999585,0.23626737302146236,0.056120076214861286,0.19193736380080373,0.23155842331767937,0.024049703715097542,0.09408818097561358,0.09784918282519015
37.5,CDG005,CUSTOM,model.10,104784,0.08436480000000035,0.25706776743819687,0.03531968179812678,0.12079753043564967,0.23539556646932608,0.020212560563450832,0.07907636113956171,0.04172116929608796
37.5,CDG006,CUSTOM,model.13,30864,0.09922560000000047,0.21112370752221385,0.0812637417141098,0.27793170304115195,0.19140234371051815,0.06420578332225876,0.25118834861626127,0.026743354424890675
37.5,CDG007,CUSTOM,model.16,9288,0.11980799999999991,0.05817483202800241,0.23421261720832123,0.8010351258922119,0.08650881999141329,0.1690993070413636,0.6615568487760948,0.13947827711611716
37.5,CDG008,CUSTOM,model.19,21648,0.06973439999999975,0.1313156363516886,0.16107181288463504,0.5508848389536991,0.12793072891785345,0.12767739811492346,0.4995044547177142,0.0513803842359849
37.5,CDG009,CUSTOM,model.22,184752,0.1484160000000001,0.2600555820617315,0.03233186717459213,0.11057884754984725,0.21661784636540657,0.03899028066737034,0.15253928394213606,-0.041960436392288816
