pruning_method,layer_id,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l2_structured,6,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_6_amt_0p40/yolo26n_l2_layer_6_amt_0p40.pt,val,4.726157,2376981,34627,1.456764,0.011105,0.021461,0.495527,0.668595,0.252019,0.983214,0.060348,1.295582,771.853955,6,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,6,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_6_amt_0p50/yolo26n_l2_layer_6_amt_0p50.pt,val,4.726157,2376981,43011,1.809480,0.008441,0.016200,0.498191,0.673855,0.295075,0.996772,0.071660,1.363507,733.402956,6,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,7,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_7_amt_0p05/yolo26n_l2_layer_7_amt_0p05.pt,val,4.726157,2376981,14979,0.630169,0.503190,0.682027,0.003443,0.008028,0.266560,0.982938,0.076830,1.326328,753.961434,7,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,7,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_7_amt_0p10/yolo26n_l2_layer_7_amt_0p10.pt,val,4.726157,2376981,29955,1.260212,0.496558,0.668741,0.010075,0.021314,0.251675,0.980844,0.069003,1.301522,768.331428,7,0.1,mask-based structured pruning; architecture shape unchanged
l2_structured,7,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_7_amt_0p20/yolo26n_l2_layer_7_amt_0p20.pt,val,4.726157,2376981,58755,2.471833,0.476630,0.644706,0.030002,0.045349,0.257384,0.971013,0.049736,1.278134,782.390451,7,0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,7,0.30,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_7_amt_0p30/yolo26n_l2_layer_7_amt_0p30.pt,val,4.726157,2376981,88707,3.731919,0.400544,0.542778,0.106088,0.147277,0.314442,0.987819,0.050473,1.352734,739.243778,7,0.3,mask-based structured pruning; architecture shape unchanged
l2_structured,7,0.40,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_7_amt_0p40/yolo26n_l2_layer_7_amt_0p40.pt,val,4.726157,2376981,117507,4.943540,0.274455,0.381498,0.232177,0.308557,0.254159,0.993550,0.090394,1.338103,747.326487,7,0.4,mask-based structured pruning; architecture shape unchanged
l2_structured,7,0.50,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_7_amt_0p50/yolo26n_l2_layer_7_amt_0p50.pt,val,4.726157,2376981,147459,6.203626,0.144669,0.200596,0.361964,0.489459,0.259873,0.998959,0.057152,1.315984,759.887782,7,0.5,mask-based structured pruning; architecture shape unchanged
l2_structured,8,0.05,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_8_amt_0p05/yolo26n_l2_layer_8_amt_0p05.pt,val,4.726157,2376981,16771,0.705559,0.492803,0.670595,0.013829,0.019460,0.287652,0.973705,0.046568,1.307925,764.570048,8,0.05,mask-based structured pruning; architecture shape unchanged
l2_structured,8,0.10,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_amount_sweep/layer_8_amt_0p10/yolo26n_l2_layer_8_amt_0p10.pt,val,4.726157,2376981,33667,1.416376,0.441743,0.607205,0.064889,0.082850,0.266976,1.001683,0.076501,1.345160,743.405825,8,0.1,mask-based structured pruning; architecture shape unchanged
