epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,3297.08,1.10942,0.69443,0.00444,0.67969,0.64126,0.67166,0.49135,1.05198,0.72115,0.00527,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3355,1.10738,0.68909,0.00442,0.67024,0.66232,0.67575,0.49396,1.05173,0.71915,0.00524,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3412.97,1.09923,0.68702,0.00443,0.64814,0.65943,0.67799,0.49609,1.048,0.70993,0.00523,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3470.94,1.09253,0.68232,0.00437,0.68454,0.67116,0.69044,0.50012,1.0512,0.71534,0.00527,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3529.04,1.09928,0.68684,0.00435,0.63474,0.68216,0.68075,0.49799,1.04447,0.70979,0.00522,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3586.92,1.09078,0.66693,0.00435,0.65928,0.66514,0.68304,0.49866,1.04581,0.70784,0.0052,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3644.99,1.0925,0.67504,0.00435,0.68582,0.66817,0.68556,0.50205,1.04581,0.70763,0.00521,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3702.94,1.08365,0.66372,0.00433,0.71508,0.65237,0.6831,0.49594,1.04962,0.70941,0.00522,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3761.01,1.08684,0.66137,0.00434,0.68019,0.67892,0.6912,0.50353,1.04796,0.69688,0.00521,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3819.07,1.08298,0.65152,0.00426,0.72777,0.62046,0.68797,0.50315,1.04843,0.70597,0.00522,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3877.23,1.08304,0.64782,0.00428,0.69666,0.64555,0.68506,0.50189,1.04992,0.70337,0.00524,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3935.12,1.06957,0.63058,0.0042,0.68955,0.66163,0.69032,0.50658,1.04588,0.71632,0.0052,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3993.32,1.07825,0.64542,0.00426,0.69526,0.63785,0.68379,0.50508,1.04257,0.71496,0.00516,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4051.41,1.07118,0.63956,0.00425,0.7478,0.62691,0.69113,0.50339,1.04439,0.70728,0.00518,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4109.35,1.07576,0.62869,0.00419,0.72735,0.64567,0.68583,0.50221,1.0457,0.70637,0.00519,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4167.3,1.06046,0.62189,0.00418,0.69208,0.65138,0.68649,0.50203,1.04703,0.71208,0.00521,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4225.41,1.05926,0.61824,0.00409,0.73076,0.62652,0.68386,0.49957,1.04506,0.71072,0.0052,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4283.38,1.0597,0.61793,0.00412,0.68874,0.63426,0.67613,0.5001,1.04392,0.71665,0.00518,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4341.37,1.06102,0.61271,0.00415,0.72504,0.63449,0.68007,0.50001,1.04571,0.71526,0.00518,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4399.15,1.0487,0.6088,0.00409,0.72022,0.63379,0.68012,0.49823,1.04383,0.70698,0.00517,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4457.16,1.04597,0.60779,0.00415,0.72187,0.64601,0.68266,0.5014,1.04458,0.7066,0.00518,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4515.08,1.05151,0.61934,0.00404,0.70541,0.64802,0.67884,0.499,1.04642,0.71078,0.00519,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4573.29,1.0453,0.60173,0.00404,0.70951,0.65879,0.68316,0.50405,1.04525,0.71011,0.00517,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
