step,global_candidate_rank_this_step,group_id,root_module,current_channel_index,l1_score,current_root_out_channels,minimum_remaining_out_channels,rejection_reason
576,12,DG016,model.19.cv2.conv,22,3.4372401237487793,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,13,DG016,model.19.cv2.conv,104,3.44576358795166,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,14,DG016,model.19.cv2.conv,65,3.512573003768921,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,15,DG016,model.19.cv2.conv,48,3.58050274848938,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,16,DG016,model.19.cv2.conv,116,3.601123332977295,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,17,DG016,model.19.cv2.conv,39,3.629716634750366,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,18,DG016,model.19.cv2.conv,74,3.709536075592041,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,19,DG010,model.16.cv2.conv,9,3.7526397705078125,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,20,DG016,model.19.cv2.conv,58,3.769874334335327,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,21,DG016,model.19.cv2.conv,110,3.7742743492126465,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,22,DG016,model.19.cv2.conv,91,3.797031879425049,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,23,DG016,model.19.cv2.conv,35,3.823143243789673,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,24,DG010,model.16.cv2.conv,8,3.8826942443847656,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,25,DG016,model.19.cv2.conv,10,3.9219300746917725,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,26,DG010,model.16.cv2.conv,27,3.9934730529785156,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,27,DG010,model.16.cv2.conv,34,4.003957748413086,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,28,DG010,model.16.cv2.conv,55,4.014743804931641,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,29,DG010,model.16.cv2.conv,46,4.024853706359863,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,30,DG010,model.16.cv2.conv,39,4.039165019989014,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,31,DG010,model.16.cv2.conv,2,4.070812225341797,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,32,DG016,model.19.cv2.conv,54,4.121891021728516,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,33,DG016,model.19.cv2.conv,71,4.168712139129639,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,34,DG010,model.16.cv2.conv,20,4.170971870422363,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,35,DG016,model.19.cv2.conv,55,4.209292411804199,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,36,DG016,model.19.cv2.conv,123,4.221888542175293,128,64,would prune protected output root model.23.cv3.1.0.0.conv
576,37,DG010,model.16.cv2.conv,3,4.23008918762207,64,32,would prune protected output root model.23.cv3.0.0.0.conv
576,38,DG016,model.19.cv2.conv,1,4.230334281921387,128,64,would prune protected output root model.23.cv3.1.0.0.conv
