ratio_percent,group_id,group_kind,representative_root,parameters_removed,gflops_removed,gen2_pruned_map50_95,gen2_AD_map50_95,gen2_NAD_map50_95,ngn2_pruned_map50_95,ngn2_AD_map50_95,ngn2_NAD_map50_95,directional_NAD_difference_GEN2_minus_NGN2
12.5,DG036,GENERIC,model.7.conv,45120,0.036147200000001156,0.27685690355809156,0.015530545678232088,0.05311632123333531,0.24334102716721576,0.012267099865561154,0.04799182251348421,0.0051244987198511005
12.5,DG037,GENERIC,model.8.cv2.conv,41088,0.03297280000000047,0.27332613100916653,0.01906131822715712,0.06519198507645488,0.23659368155590182,0.019014445476875086,0.07438904896179942,-0.009197063885344539
12.5,DG038,GENERIC,model.8.m.0.cv1.conv,20528,0.016460799999999942,0.28979937315528764,0.002588076081036006,0.008851529324516869,0.2546637226902484,0.0009444043425285154,0.003694735192857985,0.005156794131658884
12.5,DG039,GENERIC,model.8.m.0.cv2.conv,2064,0.0016639999999998878,0.29175583569671004,0.0006316135396136069,0.002160193747246319,0.2555251570212712,8.297001150570082e-05,0.0003245984878057554,0.0018355952594405636
12.5,DG040,GENERIC,model.8.m.0.m.0.cv1.conv,9232,0.007398400000000471,0.291175651971445,0.0012117972648786335,0.004144491386493105,0.25331032687245414,0.0022978001603227716,0.008989542652640783,-0.004845051266147678
12.5,DG041,GENERIC,model.8.m.0.m.1.cv1.conv,9232,0.007398400000000471,0.28594632522041347,0.006441124015910182,0.022029413481096827,0.25433182020732814,0.0012763068254487697,0.004993216922578943,0.017036196558517885
12.5,DG042,GENERIC,model.9.cv1.conv,20512,0.016435200000000094,0.28386293448621824,0.008524514750105405,0.02915485863832487,0.2552347906212878,0.00037333641148912244,0.0014605811474892936,0.027694277490835577
12.5,CDG001,CUSTOM,model.2,812,0.0421888000000008,0.21641353379406825,0.0759739154422554,0.2598398653590945,0.20910663981723776,0.04650148721553915,0.1819249166892734,0.07791494866982107
12.5,CDG002,CUSTOM,model.4,3224,0.0415744000000009,0.19255820545799696,0.09982924377832669,0.34142793761861917,0.14269259502680634,0.11291553200597057,0.4417525112239146,-0.10032457360529545
12.5,CDG003,CUSTOM,model.6,6192,0.01996800000000043,0.2642391659264157,0.02814828330990793,0.09627049103313917,0.2385585055404046,0.017049621492372324,0.06670218858176616,0.029568302451373013
12.5,CDG004,CUSTOM,model.8,24672,0.019814400000000454,0.2830876309903228,0.009299818246000846,0.031806489198803536,0.25621268204865344,-0.0006045550158765289,-0.0023651635137524646,0.034171652712556004
12.5,CDG005,CUSTOM,model.10,36464,0.02935040000000022,0.28766293501663037,0.0047245142196932766,0.016158402941142194,0.2498389712333797,0.005769155799397213,0.022570314435493,-0.006411911494350806
12.5,CDG006,CUSTOM,model.13,10288,0.03307519999999986,0.2705264579704128,0.021860991265910845,0.07476720127012561,0.24349524713412776,0.012112879898649148,0.047388477194607745,0.027378724075517863
12.5,CDG007,CUSTOM,model.16,3096,0.03993599999999997,0.20597121693653672,0.08641623229978693,0.2955538362727073,0.20136526729085055,0.05424285974192636,0.2122110136778661,0.08334282259484121
12.5,CDG008,CUSTOM,model.19,7216,0.02324480000000051,0.26497667429827726,0.02741077493804639,0.09374812431121655,0.24022138249718858,0.015386744535588331,0.06019661704111338,0.03355150727010318
12.5,CDG009,CUSTOM,model.22,63120,0.050700799999999546,0.28566743846053305,0.006720010775790597,0.02298323951093781,0.24346410580294658,0.012144021229830326,0.047510309514818695,-0.024527070003880887
