pruning_method,combo_layers,combo_size,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l1_unstructured,"20,10,6,13,22,16",6,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_20_10_6_13_22_16_amt_0p10/yolo26n_l1_combo_20_10_6_13_22_16_amt_0p10.pt,val,4.730317,2376981,109289,4.597807,0.505936,0.689069,0.000697,0.000986,0.285284,1.002124,0.056115,1.343523,744.311771,"20,10,6,13,22,16",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"6,22",2,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_6_22_amt_0p20/yolo26n_l1_combo_6_22_amt_0p20.pt,val,4.726769,2376981,109186,4.593474,0.504832,0.687054,0.001800,0.003002,0.245436,0.980839,0.056854,1.283128,779.345264,"6,22",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,6,13,22",5,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_20_10_6_13_22_amt_0p10/yolo26n_l1_combo_20_10_6_13_22_amt_0p10.pt,val,4.729522,2376981,105913,4.455778,0.505843,0.687796,0.000789,0.002259,0.243794,0.998248,0.070117,1.312159,762.102842,"20,10,6,13,22",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,6,16",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_6_16_amt_0p20/yolo26n_l1_combo_20_10_6_16_amt_0p20.pt,val,4.728055,2376981,102839,4.326454,0.504660,0.684831,0.001972,0.005224,0.291580,0.992256,0.083311,1.367147,731.450444,"20,10,6,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,13",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_13_amt_0p20/yolo26n_l1_combo_20_10_13_amt_0p20.pt,val,4.727586,2376981,102633,4.317788,0.504361,0.687749,0.002271,0.002306,0.259974,0.995481,0.084650,1.340105,746.210420,"20,10,13",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,13,22,16",5,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_20_10_13_22_16_amt_0p10/yolo26n_l1_combo_20_10_13_22_16_amt_0p10.pt,val,4.729848,2376981,100685,4.235835,0.507249,0.689640,-0.000617,0.000415,0.245684,0.972501,0.039476,1.257661,795.126797,"20,10,13,22,16",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"22,16",2,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_22_16_amt_0p20/yolo26n_l1_combo_22_16_amt_0p20.pt,val,4.726974,2376981,98742,4.154093,0.507895,0.689831,-0.001262,0.000224,0.289245,0.972109,0.046396,1.307750,764.672207,"22,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,6,22,16",5,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_20_10_6_22_16_amt_0p10/yolo26n_l1_combo_20_10_6_22_16_amt_0p10.pt,val,4.729522,2376981,97408,4.097971,0.506212,0.689910,0.000421,0.000145,0.270835,0.973851,0.050332,1.295018,772.190103,"20,10,6,22,16",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,13,22",4,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_20_10_13_22_amt_0p10/yolo26n_l1_combo_20_10_13_22_amt_0p10.pt,val,4.728259,2376981,97309,4.093806,0.505616,0.688064,0.001017,0.001991,0.255129,0.982810,0.049508,1.287447,776.730840,"20,10,13,22",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,6,13,16",4,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_6_13_16_amt_0p20/yolo26n_l1_combo_10_6_13_16_amt_0p20.pt,val,4.728055,2376981,97104,4.085182,0.499844,0.682309,0.006788,0.007746,0.251865,0.985217,0.060880,1.297962,770.438475,"10,6,13,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,6",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_6_amt_0p20/yolo26n_l1_combo_20_10_6_amt_0p20.pt,val,4.727382,2376981,96080,4.042102,0.505607,0.686948,0.001026,0.003107,0.253092,0.970754,0.039205,1.263051,791.733882,"20,10,6",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,6,13,22,16",5,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_10_6_13_22_16_amt_0p10/yolo26n_l1_combo_10_6_13_22_16_amt_0p10.pt,val,4.729583,2376981,94543,3.977440,0.505919,0.689116,0.000714,0.000939,0.245120,0.986146,0.050891,1.282157,779.935932,"10,6,13,22,16",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,6,22",4,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_20_10_6_22_amt_0p10/yolo26n_l1_combo_20_10_6_22_amt_0p10.pt,val,4.728055,2376981,94032,3.955942,0.505985,0.688221,0.000647,0.001834,0.254930,0.999036,0.089544,1.343510,744.319179,"20,10,6,22",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,22,1,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_22_amt_0p20/yolo26n_l1_combo_22_amt_0p20.pt,val,4.726361,2376981,91983,3.869741,0.507116,0.689970,-0.000484,0.000086,0.255598,0.982168,0.064872,1.302638,767.673135,22,0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,6,13,22",4,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_10_6_13_22_amt_0p10/yolo26n_l1_combo_10_6_13_22_amt_0p10.pt,val,4.728055,2376981,91167,3.835411,0.505890,0.687785,0.000742,0.002270,0.249622,0.970830,0.070943,1.291395,774.356655,"10,6,13,22",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,6,13",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_10_6_13_amt_0p20/yolo26n_l1_combo_10_6_13_amt_0p20.pt,val,4.727443,2376981,90345,3.800830,0.501416,0.683281,0.005216,0.006774,0.274639,1.007633,0.077022,1.359293,735.676333,"10,6,13",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,22,16",4,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_20_10_22_16_amt_0p10/yolo26n_l1_combo_20_10_22_16_amt_0p10.pt,val,4.728259,2376981,88804,3.736000,0.506445,0.689860,0.000188,0.000195,0.254343,0.972076,0.050257,1.276676,783.284282,"20,10,22,16",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,13,22,16",4,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_10_13_22_16_amt_0p10/yolo26n_l1_combo_10_13_22_16_amt_0p10.pt,val,4.728259,2376981,85939,3.615469,0.507168,0.689651,-0.000535,0.000404,0.292584,0.982806,0.075741,1.351131,740.120562,"10,13,22,16",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,16",3,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p20/combo_20_10_16_amt_0p20/yolo26n_l1_combo_20_10_16_amt_0p20.pt,val,4.727586,2376981,85636,3.602721,0.506124,0.688901,0.000508,0.001154,0.262958,0.992566,0.063276,1.318801,758.264736,"20,10,16",0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,10,22",3,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_20_10_22_amt_0p10/yolo26n_l1_combo_20_10_22_amt_0p10.pt,val,4.727586,2376981,85428,3.593971,0.506132,0.689120,0.000500,0.000935,0.283583,0.983749,0.047042,1.314375,760.818079,"20,10,22",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"20,6,13,22,16",5,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_20_6_13_22_16_amt_0p10/yolo26n_l1_combo_20_6_13_22_16_amt_0p10.pt,val,4.729522,2376981,84597,3.559010,0.506194,0.689231,0.000439,0.000824,0.327106,1.043063,0.069877,1.440046,694.422478,"20,6,13,22,16",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,6,22,16",4,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_10_6_22_16_amt_0p10/yolo26n_l1_combo_10_6_22_16_amt_0p10.pt,val,4.728055,2376981,82662,3.477605,0.506274,0.689816,0.000359,0.000240,0.277912,0.996933,0.075191,1.350037,740.720359,"10,6,22,16",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,"10,13,22",3,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_combo_top6_amt_0p10/combo_10_13_22_amt_0p10/yolo26n_l1_combo_10_13_22_amt_0p10.pt,val,4.727647,2376981,82563,3.473440,0.505514,0.687961,0.001119,0.002095,0.267333,1.009279,0.073424,1.350035,740.721521,"10,13,22",0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
