pruning_method,combo_layers,combo_size,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l2_structured,"20,6,22",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_6_22_amt_0p20/yolo26n_l2_combo_20_6_22_amt_0p20.pt,val,4.727382,2376981,139181,5.855369,0.040008,0.058594,0.466625,0.631461,0.308388,0.992843,0.069708,1.370939,729.427057,"20,6,22",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"6,22",2,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_6_22_amt_0p20/yolo26n_l2_combo_6_22_amt_0p20.pt,val,4.726769,2376981,109229,4.595283,0.040008,0.058594,0.466625,0.631461,0.267964,0.983173,0.062749,1.313885,761.101677,"6,22",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"13,22,16",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_13_22_16_amt_0p20/yolo26n_l2_combo_13_22_16_amt_0p20.pt,val,4.727647,2376981,122573,5.156667,0.032660,0.077461,0.473972,0.612594,0.265575,0.979712,0.054279,1.299567,769.487342,"13,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,13,22,16",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_13_22_16_amt_0p20/yolo26n_l2_combo_20_13_22_16_amt_0p20.pt,val,4.728259,2376981,152525,6.416753,0.032546,0.077032,0.474087,0.613023,0.264753,0.970838,0.047169,1.282761,779.568676,"20,13,22,16",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"6,13",2,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_6_13_amt_0p20/yolo26n_l2_combo_6_13_amt_0p20.pt,val,4.726769,2376981,40323,1.696396,0.030033,0.054653,0.476600,0.635402,0.285686,0.975817,0.066584,1.328088,752.962299,"6,13",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,6,13",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_6_13_amt_0p20/yolo26n_l2_combo_20_6_13_amt_0p20.pt,val,4.727382,2376981,70275,2.956481,0.028273,0.052778,0.478360,0.637277,0.309297,0.984631,0.059876,1.353804,738.659176,"20,6,13",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,6,13,22",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_6_13_22_amt_0p20/yolo26n_l2_combo_20_6_13_22_amt_0p20.pt,val,4.728055,2376981,162669,6.843513,0.027701,0.051244,0.478931,0.638811,0.258970,0.984491,0.050551,1.294012,772.790222,"20,6,13,22",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"6,13,22",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_6_13_22_amt_0p20/yolo26n_l2_combo_6_13_22_amt_0p20.pt,val,4.727443,2376981,132717,5.583427,0.027701,0.051244,0.478931,0.638811,0.284794,0.992170,0.067709,1.344673,743.675410,"6,13,22",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"10,6,13",3,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_10_6_13_amt_0p20/yolo26n_l2_combo_10_6_13_amt_0p20.pt,val,4.727443,2376981,89709,3.774073,0.026204,0.052703,0.480429,0.637352,0.261351,0.989492,0.049670,1.300513,768.927122,"10,6,13",0.2,mask-based structured pruning; architecture shape unchanged
l2_structured,"20,10,6,13",4,0.20,L2 structured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l2_structured_combo_top6_amt_0p20/combo_20_10_6_13_amt_0p20/yolo26n_l2_combo_20_10_6_13_amt_0p20.pt,val,4.728055,2376981,119661,5.034159,0.026162,0.052671,0.480470,0.637384,0.276655,0.973704,0.044256,1.294616,772.429975,"20,10,6,13",0.2,mask-based structured pruning; architecture shape unchanged
