pruning_method,layer_id,amount_tested,method,model_path,split,size_mb,total_params,zero_params,zero_param_percent,map50_95,map50,drop_map50_95,drop_map50,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,target_layers,amount,note
l1_unstructured,7,0.30,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_7_amt_0p30/yolo26n_l1_layer_7_amt_0p30.pt,val,4.726157,2376981,88477,3.722243,0.508511,0.691969,-0.001878,-0.001914,0.258963,0.993868,0.090412,1.343243,744.466744,7,0.3,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,7,0.40,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_7_amt_0p40/yolo26n_l1_layer_7_amt_0p40.pt,val,4.726157,2376981,117968,4.962934,0.508825,0.691867,-0.002193,-0.001812,0.274751,0.986208,0.071129,1.332088,750.700888,7,0.4,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,7,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_7_amt_0p50/yolo26n_l1_layer_7_amt_0p50.pt,val,4.726157,2376981,147459,6.203626,0.510988,0.692249,-0.004355,-0.002194,0.270962,0.997348,0.070222,1.338533,747.086601,7,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,8,0.05,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_8_amt_0p05/yolo26n_l1_layer_8_amt_0p05.pt,val,4.726157,2376981,17206,0.723859,0.506473,0.689972,0.000160,0.000083,0.264647,0.972810,0.049877,1.287335,776.798843,8,0.05,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,8,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_8_amt_0p10/yolo26n_l1_layer_8_amt_0p10.pt,val,4.726157,2376981,34407,1.447508,0.506399,0.688910,0.000233,0.001145,0.253198,0.983802,0.089385,1.326385,753.928832,8,0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,8,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_8_amt_0p20/yolo26n_l1_layer_8_amt_0p20.pt,val,4.726157,2376981,68816,2.895101,0.505200,0.688980,0.001432,0.001075,0.276734,1.007345,0.088393,1.372473,728.611878,8,0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,8,0.30,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_8_amt_0p30/yolo26n_l1_layer_8_amt_0p30.pt,val,4.726157,2376981,103222,4.342567,0.505212,0.688367,0.001420,0.001688,0.277177,0.971546,0.044515,1.293238,773.252596,8,0.3,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,8,0.40,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_8_amt_0p40/yolo26n_l1_layer_8_amt_0p40.pt,val,4.726157,2376981,137631,5.790160,0.504015,0.685925,0.002618,0.004130,0.287088,1.000348,0.075281,1.362717,733.828074,8,0.4,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,8,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_8_amt_0p50/yolo26n_l1_layer_8_amt_0p50.pt,val,4.726157,2376981,172035,7.237542,0.495540,0.671236,0.011092,0.018819,0.292350,0.973054,0.045597,1.311000,762.776342,8,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,9,0.05,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_9_amt_0p05/yolo26n_l1_layer_9_amt_0p05.pt,val,4.726157,2376981,8195,0.344765,0.505994,0.689301,0.000639,0.000754,0.254272,0.980840,0.072948,1.308060,764.490869,9,0.05,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,9,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_9_amt_0p10/yolo26n_l1_layer_9_amt_0p10.pt,val,4.726157,2376981,16387,0.689404,0.507180,0.689576,-0.000548,0.000479,0.264992,0.981710,0.076959,1.323661,755.480519,9,0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,9,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_9_amt_0p20/yolo26n_l1_layer_9_amt_0p20.pt,val,4.726157,2376981,32771,1.378682,0.506601,0.689443,0.000031,0.000612,0.247487,0.972386,0.043115,1.262988,791.773032,9,0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,9,0.30,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_9_amt_0p30/yolo26n_l1_layer_9_amt_0p30.pt,val,4.726157,2376981,49155,2.067959,0.507942,0.692962,-0.001310,-0.002906,0.260101,0.972867,0.050059,1.283027,779.406621,9,0.3,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,9,0.40,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_9_amt_0p40/yolo26n_l1_layer_9_amt_0p40.pt,val,4.726157,2376981,65539,2.757237,0.511416,0.699486,-0.004784,-0.009431,0.267549,0.971988,0.047005,1.286543,777.277059,9,0.4,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,9,0.50,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_9_amt_0p50/yolo26n_l1_layer_9_amt_0p50.pt,val,4.726157,2376981,81923,3.446515,0.506917,0.691306,-0.000285,-0.001251,0.270845,0.981460,0.049446,1.301751,768.196280,9,0.5,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,10,0.05,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_10_amt_0p05/yolo26n_l1_layer_10_amt_0p05.pt,val,4.726361,2376981,12348,0.519482,0.506372,0.689620,0.000260,0.000435,0.251982,0.992059,0.075586,1.319627,757.790140,10,0.05,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,10,0.10,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_10_amt_0p10/yolo26n_l1_layer_10_amt_0p10.pt,val,4.726361,2376981,24695,1.038923,0.505913,0.689404,0.000719,0.000652,0.247408,0.982380,0.067649,1.297437,770.750360,10,0.1,mask-based unstructured pruning; sparse weights with unchanged architecture shape
l1_unstructured,10,0.20,L1 unstructured pruning exploration,/home/afm176/yolo_project/3_pruning/pruning_plan_20260709_220413/l1_unstructured_amount_sweep/layer_10_amt_0p20/yolo26n_l1_layer_10_amt_0p20.pt,val,4.726361,2376981,49386,2.077678,0.507033,0.688809,-0.000401,0.001246,0.297459,0.973211,0.077952,1.348622,741.497693,10,0.2,mask-based unstructured pruning; sparse weights with unchanged architecture shape
